feature,importance
HOUSETYPE_MODE_terraced house,7.224672072866516e-05
ORGANIZATION_TYPE_Electricity,6.875383694186921e-05
OCCUPATION_TYPE_Realty agents,6.675834163188478e-05
ORGANIZATION_TYPE_Realtor,6.674741560701226e-05
WALLSMATERIAL_MODE_Monolithic,6.310662401858212e-05
ORGANIZATION_TYPE_Industry: type 2,6.0940407384528885e-05
ORGANIZATION_TYPE_Insurance,5.81920515833039e-05
ORGANIZATION_TYPE_Emergency,5.4213353087876e-05
ORGANIZATION_TYPE_Industry: type 5,5.344889204505163e-05
FLAG_CONT_MOBILE,5.32288364030606e-05
FLAG_DOCUMENT_14,5.059448392829866e-05
ORGANIZATION_TYPE_Advertising,5.004838209500146e-05
ORGANIZATION_TYPE_Culture,4.8345767703121335e-05
ORGANIZATION_TYPE_Trade: type 1,4.750846504738422e-05
ORGANIZATION_TYPE_Legal Services,4.651598433201673e-05
ORGANIZATION_TYPE_Trade: type 6,4.523111584948597e-05
OCCUPATION_TYPE_HR staff,4.0736867362173266e-05
FLAG_DOCUMENT_13,3.9526055979260616e-05
OCCUPATION_TYPE_IT staff,3.449322351284257e-05
ORGANIZATION_TYPE_Mobile,3.431838035770741e-05
ORGANIZATION_TYPE_Cleaning,3.4143593109156537e-05
NAME_TYPE_SUITE_Group of people,3.329964465850624e-05
ORGANIZATION_TYPE_Industry: type 12,2.9700035076051117e-05
NAME_INCOME_TYPE_Unemployed,2.4277690521251556e-05
ORGANIZATION_TYPE_Transport: type 1,1.8354509665448124e-05
FLAG_DOCUMENT_2,1.6209067421636725e-05
FLAG_DOCUMENT_19,1.5779447664821393e-05
FLAG_DOCUMENT_20,1.4900469898912727e-05
FLAG_DOCUMENT_21,1.4717911302711142e-05
FLAG_DOCUMENT_15,1.4097756139192117e-05
ORGANIZATION_TYPE_Industry: type 6,1.0904805670800368e-05
ORGANIZATION_TYPE_Industry: type 10,1.0610567788125034e-05
FLAG_DOCUMENT_7,1.0188150037383682e-05
ORGANIZATION_TYPE_Religion,8.749514074893659e-06
ORGANIZATION_TYPE_Industry: type 13,6.697596014721974e-06
ORGANIZATION_TYPE_Trade: type 4,4.5517501265988946e-06
FLAG_DOCUMENT_17,2.4208818712754326e-06
ORGANIZATION_TYPE_Trade: type 5,2.048263635695616e-06
ORGANIZATION_TYPE_Industry: type 8,1.631653329349729e-06
NAME_INCOME_TYPE_Student,1.2015064393417446e-06
FLAG_DOCUMENT_4,5.358663566236858e-07
NAME_INCOME_TYPE_Businessman,1.2739665285105166e-07
NAME_FAMILY_STATUS_Unknown,4.017078916199401e-08
FLAG_DOCUMENT_10,3.762768742978453e-08
FLAG_MOBIL,0.0
EMPLOYMENT_YEARS,0.0
FLAG_DOCUMENT_12,0.0
CODE_GENDER_XNA,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
